Artist,Album,Listed,Spotify URL,Spotify Streamable,Rdio URL,Rdio Streamable
Mason Proper,Olly Oxen Free,1,spotify:album:35kJro3d3ogVaSdY4hBRz0,True,http://rdio.com/artist/Mason_Proper/album/Olly_Oxen_Free/,True
Erykah Badu,"New Amerykah, Part Two: Return of the Ankh",1,,False,,False
VARIOUS/SUBLIME FREQUENCIES,Thai Pop Spectacular 1960s-1980s,1,,False,,False
The Purrs,"Amused, Confused & More Bad News",1,,False,,False
SILK FLOWERS,Silk Flowers,1,,False,,False
WARPAINT,The Fool,1,,False,http://rdio.com/artist/Warpaint/album/The_Fool/,True
Amber Digby and Justin Trevino,Keeping up Appearances,1,,False,,False
Findlay Brown,Love Will Find You,1,spotify:album:0ji1jC6Jp4sRZqnRM4AhKq,True,http://rdio.com/artist/Findlay_Brown/album/Love_Will_Find_You/,True
The Bird and the Bee,Ray Guns Are Not Just the Future,1,,False,,False
Title Fight,The Last Thing You Forget,1,spotify:album:4RUOulgO9x2Dnf9QxmMXmk,True,,False
Slow Six,Nor'easter,1,,False,http://rdio.com/artist/Slow_Six/album/Nor%27easter/,True
ADMIRAL FALLOW,Boots Met My Face,1,,False,http://rdio.com/artist/Admiral_Fallow/album/Boots_Met_My_Face/,True
Aziz Ansari,Intimate Moments For A Sensual Evening [Vinyl],1,,False,,False
TiÃ«sto,Just Be,1,,False,,False
The Drums,Summertime,1,,False,,False
THEO PARRISH,Sketches,1,,False,,False
Amy Winehouse,Frank,1,spotify:album:1oWX1F7HnYOM6WrxtMN9RS,True,http://rdio.com/artist/Amy_Winehouse/album/Frank_4/,True
Yppah,They Know What Ghost Know,1,spotify:album:2grmImi4z74TLSGf2MyB52,True,http://rdio.com/artist/Yppah/album/They_Know_What_Ghost_Know/,True
nite jewel,good evening,1,,False,,False
Eluvium,COPIA,1,,False,,False
THE-DREAM,LOVE KING,1,,False,,False
MAXMILLION DUNBAR,Cool Water,1,,False,http://rdio.com/artist/Caravan/album/Cool_Water/,True
Shout At Louds,Work,1,,False,http://rdio.com/artist/Shout_Out_Louds/album/Work_1/,True
pisces,a lovely sight,1,,False,,False
Miley Cyrus,Can`t Be Tamed,1,,False,,False
Led Zeppelin,Led Zeppelin,1,,False,,False
Daft Punk,Alive 2007,1,spotify:album:3Rlu153B6WjTIwhreK5Bhh,True,http://rdio.com/artist/Daft_Punk/album/Alive_2007_2/,True
Yes,Yes,1,,False,http://rdio.com/artist/Pet_Shop_Boys/album/Yes/,True
Various Artists,5 Years of Hyperdub,1,,False,,False
DJ ROC,THE CRACK CAPONE,1,,False,,False
Howlinâ Rain,Magnificent Fiend,1,,False,http://rdio.com/artist/Howlin_Rain/album/Magnificent_Fiend/,True
Sleeping at Last,Storyboards,1,,False,http://rdio.com/artist/Sleeping_At_Last/album/Storyboards/,True
Simon Joyner,Out Into the Snow,1,,False,,False
Lady Gaga,Bad Romance,1,spotify:album:7MxCSeyPT8fw4mUH2e5JmM,False,http://rdio.com/artist/Lady_Gaga/album/Bad_Romance/,True
Future of the Left,Travels with Myself and Another,1,,False,,False
FRIGHTENED RABBIT,The Winter Of Mixed Drinks,1,,False,,False
J.C. Satan,Sick Of Love,1,,False,,False
SWANS,My Father Will Guide Me Up a Rope to the Sky,1,,False,,False
Bloc Party,Intimacy,1,spotify:album:6NhiDy1DZQvdho5X8CsOmq,True,http://rdio.com/artist/Bloc_Party/album/Intimacy/,True
Raoul Sinier,Tremens Industry,1,spotify:album:4UkDvhl5kTd7svcPPdbEBi,True,http://rdio.com/artist/Raoul_Sinier/album/Tremens_Industry/,True
Angels & Airwaves,Love,1,,False,,False
Tortoise,Beacons Of Ancestorship,1,,False,,False
Horseback,The Invisible Mountain,1,,False,http://rdio.com/artist/Horseback/album/The_Invisible_Mountain/,True
Deadmau5,Tech-Trance-Electro Madness,1,,False,,False
Me'Shell NdegÃ©Ocello,The World Has Made Me The Man Of My Dreams,1,,False,,False
Lee Fields & The Expressions,My World,1,spotify:album:7ElHdWPD6YbkbltJQgCiDc,True,http://rdio.com/artist/Lee_Fields__The_Expressions/album/My_World/,True
Colour Revolt,"Plunder, Beg and Curse",1,,False,,False
Red Drapes,Reflection,1,,False,,False
Twin Sister,Color Your Life/Vampires With Dreaming Kids,1,,False,,False
Steve Moore,Primitive Neural Pathways,1,spotify:album:5Lxx0oGqa7z0WOEZM55cyJ,False,http://rdio.com/artist/Steve_Moore/album/Primitive_Neural_Pathways/,True
